dataset_size,epoch,train_loss,train_rmse,val_loss,val_rmse
110,56,0.084507,0.28661,0.064175,0.25333
110,57,0.084753,0.28947,0.062859,0.25072
110,58,0.08605,0.29055,0.062695,0.25039
110,59,0.080541,0.28276,0.074658,0.27324
110,60,0.086899,0.29328,0.064544,0.25405
140,1,0.99791,0.99879,0.89829,0.94778
140,2,0.98931,0.99427,0.89633,0.94675
140,3,0.96852,0.98353,0.88876,0.94274
140,4,0.91713,0.95753,0.8662,0.9307
140,5,0.86086,0.92773,0.83182,0.91204
140,6,0.80302,0.89596,0.7823,0.88448
140,7,0.74035,0.86026,0.72753,0.85296
140,8,0.71288,0.84428,0.7089,0.84196
140,9,0.70327,0.83847,0.69263,0.83224
140,10,0.6945,0.8332,0.68802,0.82947
140,11,0.68444,0.82724,0.68152,0.82554
140,12,0.67733,0.82298,0.67318,0.82048
140,13,0.66933,0.8181,0.65875,0.81163
140,14,0.65209,0.80749,0.62501,0.79058
140,15,0.61635,0.78491,0.54208,0.73626
140,16,0.53389,0.73038,0.39175,0.6259
140,17,0.46045,0.67742,0.33028,0.5747
140,18,0.38728,0.62164,0.37357,0.6112
140,19,0.3132,0.55899,0.22558,0.47495
140,20,0.25454,0.50372,0.18808,0.43368
140,21,0.21883,0.46635,0.25084,0.50084
140,22,0.19243,0.43807,0.17188,0.41458
140,23,0.19564,0.44123,0.10501,0.32406
140,24,0.17196,0.41376,0.092481,0.30411
140,25,0.16207,0.40101,0.098697,0.31416
140,26,0.14484,0.38027,0.083293,0.2886
140,27,0.15514,0.39188,0.071478,0.26735
140,28,0.13576,0.368,0.073416,0.27095
140,29,0.13736,0.3677,0.077475,0.27834
140,30,0.13535,0.36547,0.087403,0.29564
140,31,0.11588,0.33954,0.06266,0.25032
140,32,0.11581,0.33916,0.057879,0.24058
140,33,0.1178,0.34158,0.059447,0.24382
140,34,0.1139,0.3359,0.055183,0.23491
140,35,0.12193,0.34837,0.11319,0.33644
140,36,0.12721,0.35569,0.054196,0.2328
140,37,0.10144,0.31754,0.051435,0.22679
140,38,0.099513,0.31505,0.051242,0.22637
140,39,0.10372,0.32046,0.062768,0.25054
140,40,0.1055,0.32379,0.091898,0.30315
140,41,0.11752,0.3414,0.066347,0.25758
140,42,0.095688,0.30835,0.057206,0.23918
140,43,0.097505,0.31118,0.060429,0.24582
140,44,0.10204,0.31894,0.057605,0.24001
140,45,0.093313,0.30481,0.050794,0.22538
140,46,0.09855,0.31211,0.05055,0.22483
140,47,0.09706,0.30935,0.049365,0.22218
140,48,0.092633,0.30373,0.053933,0.23223
140,49,0.094353,0.3062,0.048413,0.22003
140,50,0.089459,0.29824,0.049868,0.22331
140,51,0.092553,0.30201,0.053447,0.23119
140,52,0.087175,0.29501,0.044069,0.20993
140,53,0.090102,0.2987,0.052645,0.22944
140,54,0.091311,0.30129,0.075822,0.27536
140,55,0.096535,0.30958,0.047943,0.21896
140,56,0.089934,0.29914,0.044932,0.21197
140,57,0.089646,0.29851,0.047263,0.2174
140,58,0.082957,0.28772,0.045486,0.21328
140,59,0.084885,0.28959,0.057097,0.23895
140,60,0.089284,0.29675,0.05852,0.24191
200,1,1.0079,1.0036,0.94174,0.97026
200,2,0.9867,0.99287,0.92789,0.96309
200,3,0.91396,0.95555,0.87113,0.9332
200,4,0.82478,0.9076,0.82832,0.91007
200,5,0.7693,0.87688,0.75342,0.868
200,6,0.72684,0.85242,0.717,0.84675
200,7,0.70291,0.83836,0.69733,0.83506
200,8,0.69007,0.83065,0.67629,0.82237
200,9,0.66201,0.81354,0.62966,0.79351
